CÓDIGO,DESCRIÇÃO
AL1522,ALGUM DISJUNTOR DE TRAÇÃO DESARMADO
AL1523,ALGUM DISJUNTOR BATERIA DESARMADO
AL0615,AA_SAL: MESMA FALHA GRAVE EM AMBOS EQUIPAMENTOS
AL0666,AA_SAL: FALHA GRAVE SISTEMA CPU
AL0635,AA_SAL: FALHA DE ALTERNA NO EQUIPAMENTO 2
AL0623,AA_SAL: FALHA DE ALTERNA NO EQUIPAMENTO 1
AL0668,AA_SAL: FALHA DE ALTERNA EM AMBOS EQUIPAMTS.
AL0642,AA_SAL: FALHA CONTATOR DO EVAPORADOR
AL0630,AA_SAL: FALHA CONTATOR DO EVAPORADOR
AL0649,AA_SAL: DISCREPÂNÇIA SINAIS HW E SW
AL0648,AA_SAL: DISCREPÂNÇIA SINAIS HW E SW
AL0616,AA_SAL: ATIVAÇÃO CONVERSOR EMERGÊNCIA
AL0614,AA_CAB: FALHA SISTEMA AC NOK
AL0610,AA_CAB: AVARIA DETECTOR DO ALTERNA
AL0130,(INFO) EMERGÊNCIA TREM EM MOVIMENTO
AL1107,(INFO) CABINE CMC REMOTA ATIVA
AL1106,(INFO) CABINE CMC ATIVA
AL1137,(INFO) 1 MIN DESDE LIGADA A CCU
AL0516,APS: TOMADA EXTERNA CONECTADA
AL0650,AA_SAL: DISCREPÂNÇIA SINAIS HW E SW
AL0513,APS: APS FUNCIONANDO A PARTIR DA TOMADA EXTERNA
AL0119,BOTÃO SOCO ATUADO NA UT REMOTA
AL0300,BCU: FREIO DE RETENÇÃO ISOLADO
AL0809,CÂMERA CCTV BLOQUEADA
AL0509,APS: FALHA GRAVE NO CARREGADOR BATERIA
AL0820,DETECÇÃO DE PRESENÇA
AL0669,AA_SAL: FALHA GRAVE REFRIGERAÇÃO NO CARRO.
AL0647,AA_SAL: DISCREPÂNÇIA SINAIS HW E SW
AL1516,DISJUNTOR EQUIP. VAC DESARMADO
AL0600,AA_CAB: FALHA GRAVE
AL0671,FALHA COMUNICAÇÕES COM HVAC CABINE
AL0611,AA_CAB: FALHA CPU DA CABINE
AL0652,AA_SAL: MEDIÇÃO DA SONDA FORA DA FAIXA
AL0651,AA_SAL: MEDIÇÃO DA SONDA FORA DA FAIXA
AL0657,AA_SAL: MEDIÇÃO FORA DA FAIXA
AL0656,AA_SAL: MEDIÇÃO FORA DA FAIXA
AL0655,AA_SAL: MEDIÇÃO DA SONDA FORA DA FAIXA
AL0654,AA_SAL: MEDIÇÃO DA SONDA FORA DA FAIXA
AL0653,AA_SAL: MEDIÇÃO DA SONDA FORA DA FAIXA
AL0662,AA_SAL: MEDIÇÃO FORA DA FAIXA
AL0661,AA_SAL: MEDIÇÃO FORA DA FAIXA
AL0660,AA_SAL: MEDIÇÃO FORA DA FAIXA
AL0659,AA_SAL: MEDIÇÃO FORA DA FAIXA
AL0658,AA_SAL: MEDIÇÃO FORA DA FAIXA
AL0663,AA_SAL: MEDIÇÃO FORA DA FAIXA
AL0817,FALHA NO GRAVADOR DE VÍDEO
AL0811,FALHA NO GRAVADOR DE VÍDEO
AL0004,FOGO DETECTADO NA CABINE
AL0711,DCU: FALHA SWITCH PORTA FECHADA
AL1504,DISJUNTOR REGISTRADOR DESARMADO
AL0147,LAÇO_EMERG: FREIO SERVICIO
AL0134,LAÇO_EMERG: CHAVE REBOQUE
AL0158,LAÇO_EMERG: FREIO.EST. EM ACIONAMENTO
AL0136,LAÇO_EMERG: CBTC
AL0133,LAÇO_EMERG: CAB.HAB
AL0061,VÁLVULA MOTORIZADA 2 ABERTA
AL0060,VÁLVULA MOTORIZADA 1 ABERTA
AL0042,DETECTOR ALARME SALÃO 3
AL0001,PRÉ-ALARME DE DETECÇÃO DE FOGO SALÃO
AL0041,DETECTOR ALARME SALÃO 2-6
AL0016,FALHA AUTOTESTE CENTRAL
AL0068,FALHA TESTE VÁLVULA MOTORIZADA
AL1215,DESC: FALHA NO SENSOR DESCARRILHO
AL1206,DESC: FALHA NO SENSOR DESCARRILHO EIXO 2
AL0312,BCU: SUSPENSÃO TRUQUE 2 ISOLADA
AL0311,BCU: SUSPENSÃO TRUQUE 1 ISOLADA
AL0340,"BCU:FALHA NA MEDIÇÃO DE CARGA NO TRUQUE 2,"
AL0339,"BCU:FALHA NA MEDIÇÃO DE CARGA NO TRUQUE 1,"
AL1503,DISJUNTOR EQUIP. TRAÇÃO DESARMADO
AL0406,FALHA COMUNICAÇÕES COM TCU
AL1300,COMP: PRESSÃO BAIXA ENCANAMENTO PRINCIPAL
AL1502,DISJUNTOR MANIPULADOR DESARMADO
AL1501,DISJUNTOR CIRC. TREM PARADO DESARMADO
AL1500,DISJUNTOR CABINE ATIVA DESARMADO
AL1526,DISJUNTOR ICU 2 DESARMADO
AL1525,DISJUNTOR ICU 1 DESARMADO
AL1517,DISJUNTOR MÓDULO IO2 COSMOS DESARMADO
AL1509,DISJUNTOR CONTROLE PORTAS DESARMADO
AL0186,FALHA COMUNICAÇÕES MÓDULO IO1-1
AL1101,FALHA NO CIRCUITO CONTROLE CABINE
AL0107,FALHA NO MANIPULADOR
AL0906,BYPASS HOMEM MORTO ATIVO
